no,단지명,매물명,매칭,마지막수집일,마지막수집시각,5월수집일수,비고
1,광교현대프레미오,"103동 (199/167·11/17층 | 7억 5,000) 남서향",no_price_match,2026-05-20,15:27,20,no_price_match
2,광교현대프레미오,"103동 (199/167·8/17층 | 7억 5,000) 남서향",no_price_match,2026-05-20,15:27,20,no_price_match
3,광교현대프레미오,"103동 (249/211·10/17층 | 9억 8,000) 남서향",no_price_match,2026-05-20,15:27,20,no_price_match
4,광교현대프레미오,102동 (223/185·2/20층 | 8억) 남서향,no_price_match,2026-05-20,15:27,20,no_price_match
5,광교현대프레미오,"103동 (249/211·2/17층 | 9억 3,000) 남서향",no_price_match,2026-05-20,15:27,20,no_price_match
6,광교현대프레미오,"103동 (199/167·1/17층 | 7억 5,000) 남서향",no_price_match,2026-05-20,15:27,20,no_price_match
7,심곡마을광교힐스테이트,205동 (190/158·5/15층 | 13억) 남서향,no_price_match,2026-05-20,15:28,20,no_price_match
8,심곡마을광교힐스테이트,"205동 (190/158·7/15층 | 12억 5,000) 남서향",no_price_match,2026-05-09,16:45,9,no_price_match; 파케이 최신(2026-05-20)보다 이전 종료
9,포레나광교상현,104동 (109A/84A·2/20층 | 10억) 남향,no_price_match,2026-05-20,15:17,20,no_price_match
10,포레나광교상현,"104동 (110B/84B·17/20층 | 10억 4,000) 남동향",no_price_match,2026-05-20,15:17,20,no_price_match
11,포레나광교상현,106동 (109A/84A·14/20층 | 4억) 남서향,no_price_match,2026-05-20,15:17,20,no_price_match
12,포레나광교상현,"102동 (109A/84A·중/20층 | 10억 3,000) 남동향",no_price_match,2026-05-20,15:17,20,no_price_match
13,포레나광교상현,"101동 (109A/84A·8/17층 | 10억 5,000) 남동향",no_price_match,2026-05-20,15:17,20,no_price_match
14,포레나광교상현,"104동 (109A/84A·18/20층 | 10억 5,000) 남향",no_price_match,2026-05-20,15:17,20,no_price_match
15,포레나광교상현,106동 (109A/84A·19/20층 | 12억) 남서향,no_price_match,2026-05-20,15:17,20,no_price_match
16,포레나광교상현,"104동 (110B/84B·1/20층 | 9억 5,000) 남향",no_price_match,2026-05-12,09:35,12,no_price_match; 파케이 최신(2026-05-20)보다 이전 종료
17,포레나광교상현,105동 (109A/84A·14/20층 | 10억) 남동향,no_price_match,2026-05-14,09:36,14,no_price_match; 파케이 최신(2026-05-20)보다 이전 종료
18,포레나광교상현,107동 (109A/84A·12/18층 | 11억) 남서향,no_price_match,2026-05-20,15:17,20,no_price_match
19,포레나광교상현,"104동 (110B/84B·1/20층 | 9억 5,000) 남동향",no_price_match,2026-05-12,09:35,12,no_price_match; 파케이 최신(2026-05-20)보다 이전 종료
20,포레나광교상현,104동 (110B/84B·저/20층 | 7억) 남동향,no_price_match,2026-05-20,15:17,20,no_price_match
21,포레나광교상현,"105동 (109A/84A·17/20층 | 10억 4,000) 남동향",no_price_match,2026-05-20,15:17,8,no_price_match
22,포레나광교상현,"102동 (109A/84A·12/20층 | 10억 3,000) 남동향",no_price_match,2026-05-20,15:17,2,no_price_match
23,포레나광교상현,102동 (109A/84A·저/20층 | 11억) 남동향,no_price_match,2026-05-20,15:17,14,no_price_match
24,포레나광교상현,107동 (109A/84A·10/18층 | 7억) 남서향,no_price_match,2026-05-14,20:07,8,no_price_match; 파케이 최신(2026-05-20)보다 이전 종료
25,다산e편한세상자이,"3507동 (80/59·저/29층 | 8억 9,000) 남동향",no_price_match,2026-05-20,14:53,20,no_price_match
26,다산e편한세상자이,"3511동 (113A/84A·고/29층 | 10억 3,000) 남동향",no_price_match,2026-05-15,09:12,15,no_price_match; 파케이 최신(2026-05-20)보다 이전 종료
27,다산e편한세상자이,"3503동 (80/59·저/29층 | 8억 7,000) 남향",no_price_match,2026-05-20,14:53,20,no_price_match
28,다산e편한세상자이,"3504동 (80/59·저/29층 | 8억 9,500) 남향",no_price_match,2026-05-20,14:53,20,no_price_match
29,다산e편한세상자이,"3506동 (80/59·1/29층 | 8억 5,000) 남동향",no_price_match,2026-05-20,14:52,20,no_price_match
30,다산e편한세상자이,"3508동 (113B/84B·12/29층 | 9억 8,000) 남서향",no_price_match,2026-05-19,10:23,19,no_price_match; 파케이 최신(2026-05-20)보다 이전 종료
31,다산e편한세상자이,"3501동 (99/74·고/29층 | 9억 5,000) 남동향",no_price_match,2026-05-08,16:09,8,no_price_match; 파케이 최신(2026-05-20)보다 이전 종료
32,다산e편한세상자이,3505동 (113A/84A·저/29층 | 11억) 남서향,no_price_match,2026-05-20,14:52,20,no_price_match
33,다산e편한세상자이,3505동 (113B/84B·중/29층 | 10억) 남서향,no_price_match,2026-05-20,14:53,20,no_price_match
34,다산e편한세상자이,"3506동 (99/74·19/29층 | 9억 5,000) 남서향",no_price_match,2026-05-20,14:52,8,no_price_match
35,다산e편한세상자이,"3507동 (80/59·23/29층 | 8억 4,000) 남동향",no_price_match,2026-05-20,14:52,20,no_price_match
36,다산e편한세상자이,3509동 (113A/84A·7/29층 | 11억) 남서향,no_price_match,2026-05-20,14:51,20,no_price_match
37,다산e편한세상자이,"3510동 (113B/84B·25/29층 | 10억 1,000) 남서향",no_price_match,2026-05-20,14:52,18,no_price_match
38,다산e편한세상자이,"3511동 (113B/84B·17/29층 | 10억 5,000) 남서향",no_price_match,2026-05-20,14:51,20,no_price_match
39,다산e편한세상자이,"3512동 (99/74·중/29층 | 9억 3,000) 남동향",no_price_match,2026-05-20,14:53,20,no_price_match
40,다산e편한세상자이,"3512동 (99/74·중/29층 | 9억 2,000) 남서향",no_price_match,2026-05-20,14:53,20,no_price_match
41,다산e편한세상자이,"3502동 (113B/84B·고/29층 | 10억 4,000) 남동향",no_price_match,2026-05-20,14:53,20,no_price_match
42,다산e편한세상자이,"3503동 (113B/84B·저/29층 | 6억 3,000) 남동향",no_price_match,2026-05-20,14:51,20,no_price_match
43,다산e편한세상자이,"3503동 (80/59·5/29층 | 8억 7,000) 남향",no_price_match,2026-05-20,14:52,20,no_price_match
44,다산e편한세상자이,"3504동 (80/59·19/29층 | 8억 6,000) 남향",no_price_match,2026-05-20,14:51,20,no_price_match
45,다산e편한세상자이,"3504동 (80/59·22/29층 | 8억 5,000) 남향",no_price_match,2026-05-20,14:52,20,no_price_match
46,다산e편한세상자이,"3505동 (99/74·저/29층 | 9억 2,000) 남동향",no_price_match,2026-05-20,14:53,20,no_price_match
47,다산e편한세상자이,"3506동 (113B/84B·저/29층 | 10억 5,000) 남서향",no_price_match,2026-05-20,14:53,20,no_price_match
48,다산e편한세상자이,"3506동 (80/59·고/29층 | 8억 5,000) 남동향",no_price_match,2026-05-20,14:52,20,no_price_match
49,다산e편한세상자이,"3506동 (99/74·중/29층 | 9억 5,000) 남서향",no_price_match,2026-05-20,14:53,20,no_price_match
50,다산e편한세상자이,"3507동 (113B/84B·22/29층 | 10억 5,000) 남서향",no_price_match,2026-05-20,14:51,20,no_price_match
51,다산e편한세상자이,3507동 (113B/84B·5/29층 | 10억) 남동향,no_price_match,2026-05-20,14:52,20,no_price_match
52,다산e편한세상자이,"3507동 (113B/84B·고/29층 | 9억 8,000) 남서향",no_price_match,2026-05-20,14:52,20,no_price_match
